x: 0, y: 0Vx: 0, Vy: 0time0
x: 0.0604804, y: 0.06125Vx: 0.326179, Vy: 0.35time0.35
x: 0.0637629, y: 0.0648Vx: 0.330322, Vy: 0.36time0.36
x: 0.0670868, y: 0.06845Vx: 0.334464, Vy: 0.37time0.37
x: 0.0704522, y: 0.0722Vx: 0.338606, Vy: 0.38time0.38
x: 0.073859, y: 0.07605Vx: 0.342748, Vy: 0.39time0.39
x: 0.0773071, y: 0.08Vx: 0.34689, Vy: 0.4time0.4
x: 0.0807966, y: 0.08405Vx: 0.350734, Vy: 0.41time0.41
x: 0.0843105, y: 0.0882Vx: 0.35205, Vy: 0.42time0.42
x: 0.0878376, y: 0.09245Vx: 0.353367, Vy: 0.43time0.43
x: 0.0913779, y: 0.0968Vx: 0.354683, Vy: 0.44time0.44
x: 0.0949313, y: 0.10125Vx: 0.356, Vy: 0.45time0.45
x: 0.0984979, y: 0.1058Vx: 0.357316, Vy: 0.46time0.46
x: 0.102078, y: 0.11045Vx: 0.358633, Vy: 0.47time0.47
x: 0.105671, y: 0.1152Vx: 0.359949, Vy: 0.48time0.48
x: 0.109276, y: 0.12005Vx: 0.361088, Vy: 0.49time0.49
x: 0.112887, y: 0.125Vx: 0.361088, Vy: 0.5time0.5
x: 0.116498, y: 0.13005Vx: 0.361088, Vy: 0.51time0.51
x: 0.120109, y: 0.1352Vx: 0.361088, Vy: 0.52time0.52
x: 0.12372, y: 0.14045Vx: 0.361088, Vy: 0.53time0.53
x: 0.127331, y: 0.1458Vx: 0.361088, Vy: 0.54time0.54
x: 0.130942, y: 0.15125Vx: 0.361088, Vy: 0.55time0.55
x: 0.134553, y: 0.1568Vx: 0.361088, Vy: 0.56time0.56
x: 0.138164, y: 0.16245Vx: 0.361088, Vy: 0.57time0.57
x: 0.141774, y: 0.1682Vx: 0.361088, Vy: 0.58time0.58
x: 0.145385, y: 0.17405Vx: 0.361088, Vy: 0.59time0.59
x: 0.148996, y: 0.18Vx: 0.361088, Vy: 0.6time0.6
x: 0.152607, y: 0.18605Vx: 0.361088, Vy: 0.61time0.61
x: 0.156218, y: 0.1922Vx: 0.361088, Vy: 0.62time0.62
x: 0.159829, y: 0.19845Vx: 0.361088, Vy: 0.63time0.63
x: 0.16344, y: 0.2048Vx: 0.361088, Vy: 0.64time0.64
x: 0.167051, y: 0.21125Vx: 0.361088, Vy: 0.65time0.65
x: 0.170661, y: 0.2178Vx: 0.361088, Vy: 0.66time0.66
x: 0.174272, y: 0.22445Vx: 0.361088, Vy: 0.67time0.67
x: 0.177883, y: 0.2312Vx: 0.361088, Vy: 0.68time0.68
x: 0.181494, y: 0.23805Vx: 0.361088, Vy: 0.69time0.69
x: 0.185105, y: 0.245Vx: 0.361088, Vy: 0.7time0.7
x: 0.188716, y: 0.25205Vx: 0.361088, Vy: 0.71time0.71
x: 0.192327, y: 0.2592Vx: 0.361088, Vy: 0.72time0.72
x: 0.195938, y: 0.26645Vx: 0.361088, Vy: 0.73time0.73
x: 0.199548, y: 0.2738Vx: 0.361088, Vy: 0.74time0.74
x: 0.203159, y: 0.28125Vx: 0.361088, Vy: 0.75time0.75
x: 0.20677, y: 0.2888Vx: 0.361088, Vy: 0.76time0.76
x: 0.210381, y: 0.29645Vx: 0.361088, Vy: 0.77time0.77
x: 0.213992, y: 0.3042Vx: 0.361088, Vy: 0.78time0.78
x: 0.217603, y: 0.31205Vx: 0.361088, Vy: 0.79time0.79
x: 0.221214, y: 0.32Vx: 0.361088, Vy: 0.799739time0.8
x: 0.224825, y: 0.328036Vx: 0.361088, Vy: 0.807412time0.81
x: 0.228436, y: 0.336148Vx: 0.361088, Vy: 0.815085time0.82
x: 0.232046, y: 0.344337Vx: 0.361088, Vy: 0.822759time0.83
x: 0.235657, y: 0.352603Vx: 0.361088, Vy: 0.830432time0.84
x: 0.239268, y: 0.360946Vx: 0.361088, Vy: 0.838105time0.85
x: 0.242879, y: 0.369365Vx: 0.361088, Vy: 0.845778time0.86
x: 0.24649, y: 0.377852Vx: 0.361088, Vy: 0.850859time0.87
x: 0.250101, y: 0.386381Vx: 0.361088, Vy: 0.855001time0.88
x: 0.253712, y: 0.394952Vx: 0.361088, Vy: 0.859143time0.89
x: 0.257323, y: 0.403564Vx: 0.361088, Vy: 0.863286time0.9
x: 0.260933, y: 0.412218Vx: 0.361088, Vy: 0.867428time0.91
x: 0.264544, y: 0.420913Vx: 0.361088, Vy: 0.87157time0.92
x: 0.268155, y: 0.429649Vx: 0.361088, Vy: 0.875712time0.93
x: 0.271766, y: 0.438426Vx: 0.361088, Vy: 0.878987time0.94
x: 0.275377, y: 0.447222Vx: 0.361088, Vy: 0.880304time0.95
x: 0.278988, y: 0.456032Vx: 0.361088, Vy: 0.88162time0.96
x: 0.282599, y: 0.464854Vx: 0.361088, Vy: 0.882937time0.97
x: 0.28621, y: 0.47369Vx: 0.361088, Vy: 0.884253time0.98
x: 0.289821, y: 0.48254Vx: 0.361088, Vy: 0.88557time0.99
x: 0.293431, y: 0.491402Vx: 0.361088, Vy: 0.886886time1
x: 0.297042, y: 0.500277Vx: 0.361088, Vy: 0.888203time1.01
x: 0.300653, y: 0.509165Vx: 0.361088, Vy: 0.889077time1.02
x: 0.304264, y: 0.518056Vx: 0.361088, Vy: 0.889077time1.03
x: 0.307875, y: 0.526947Vx: 0.361088, Vy: 0.889077time1.04
x: 0.311486, y: 0.535837Vx: 0.361088, Vy: 0.889077time1.05
x: 0.315097, y: 0.544728Vx: 0.361088, Vy: 0.889077time1.06
x: 0.318708, y: 0.553619Vx: 0.361088, Vy: 0.889077time1.07
x: 0.322318, y: 0.56251Vx: 0.361088, Vy: 0.889077time1.08
x: 0.325929, y: 0.571401Vx: 0.361088, Vy: 0.889077time1.09
x: 0.32954, y: 0.580291Vx: 0.361088, Vy: 0.889077time1.1
x: 0.333151, y: 0.589182Vx: 0.361088, Vy: 0.889077time1.11
x: 0.336762, y: 0.598073Vx: 0.361088, Vy: 0.889077time1.12
x: 0.340373, y: 0.606964Vx: 0.361088, Vy: 0.889077time1.13
x: 0.343984, y: 0.615854Vx: 0.361088, Vy: 0.889077time1.14
x: 0.347595, y: 0.624745Vx: 0.361088, Vy: 0.889077time1.15
x: 0.351206, y: 0.633636Vx: 0.361088, Vy: 0.889077time1.16
x: 0.354816, y: 0.642527Vx: 0.361088, Vy: 0.889077time1.17
x: 0.358427, y: 0.651417Vx: 0.361088, Vy: 0.889077time1.18
x: 0.362038, y: 0.660308Vx: 0.361088, Vy: 0.889077time1.19
x: 0.365649, y: 0.669199Vx: 0.361088, Vy: 0.889077time1.2
x: 0.36926, y: 0.67809Vx: 0.361088, Vy: 0.889077time1.21
x: 0.372871, y: 0.686981Vx: 0.361088, Vy: 0.889077time1.22
x: 0.376482, y: 0.695871Vx: 0.361088, Vy: 0.889077time1.23
x: 0.380093, y: 0.704762Vx: 0.361088, Vy: 0.889077time1.24
x: 0.383703, y: 0.713653Vx: 0.361088, Vy: 0.889077time1.25
x: 0.387314, y: 0.722544Vx: 0.361088, Vy: 0.889077time1.26
x: 0.390925, y: 0.731434Vx: 0.361088, Vy: 0.889077time1.27
x: 0.394536, y: 0.740325Vx: 0.361088, Vy: 0.889077time1.28
x: 0.398147, y: 0.749216Vx: 0.361088, Vy: 0.889077time1.29
x: 0.401758, y: 0.758107Vx: 0.361088, Vy: 0.889077time1.3
x: 0.405369, y: 0.766997Vx: 0.361088, Vy: 0.889077time1.31
x: 0.40898, y: 0.775888Vx: 0.361088, Vy: 0.889077time1.32
x: 0.41259, y: 0.784779Vx: 0.361088, Vy: 0.889077time1.33
x: 0.416201, y: 0.79367Vx: 0.361088, Vy: 0.889077time1.34
x: 0.419812, y: 0.80256Vx: 0.361088, Vy: 0.889077time1.35
x: 0.423423, y: 0.811451Vx: 0.361088, Vy: 0.889077time1.36
x: 0.427034, y: 0.820342Vx: 0.361088, Vy: 0.889077time1.37
x: 0.430645, y: 0.829233Vx: 0.361088, Vy: 0.889077time1.38
x: 0.434256, y: 0.838124Vx: 0.361088, Vy: 0.889077time1.39
x: 0.437867, y: 0.847014Vx: 0.361088, Vy: 0.889077time1.4
x: 0.441478, y: 0.855905Vx: 0.361088, Vy: 0.889077time1.41
x: 0.445088, y: 0.864796Vx: 0.361088, Vy: 0.889077time1.42
x: 0.448699, y: 0.873687Vx: 0.361088, Vy: 0.889077time1.43
x: 0.45231, y: 0.882577Vx: 0.361088, Vy: 0.889077time1.44
x: 0.455921, y: 0.891468Vx: 0.361088, Vy: 0.889077time1.45
x: 0.459532, y: 0.900359Vx: 0.361088, Vy: 0.889077time1.46
x: 0.463143, y: 0.90925Vx: 0.361088, Vy: 0.889077time1.47
x: 0.466754, y: 0.91814Vx: 0.361088, Vy: 0.889077time1.48
x: 0.470365, y: 0.927031Vx: 0.361088, Vy: 0.889077time1.49
x: 0.473975, y: 0.935922Vx: 0.361088, Vy: 0.889077time1.5
x: 0.477586, y: 0.944813Vx: 0.361088, Vy: 0.889077time1.51
x: 0.481197, y: 0.953704Vx: 0.361088, Vy: 0.889077time1.52
x: 0.484808, y: 0.962594Vx: 0.361088, Vy: 0.889077time1.53
x: 0.488419, y: 0.971485Vx: 0.361088, Vy: 0.889077time1.54
x: 0.49203, y: 0.980376Vx: 0.361088, Vy: 0.889077time1.55
x: 0.495641, y: 0.989267Vx: 0.361088, Vy: 0.889077time1.56
x: 0.499252, y: 0.998157Vx: 0.361088, Vy: 0.889077time1.57
x: 0.502863, y: 1.00705Vx: 0.361088, Vy: 0.889077time1.58
x: 0.506473, y: 1.01594Vx: 0.361088, Vy: 0.889077time1.59
x: 0.510084, y: 1.02483Vx: 0.361088, Vy: 0.889077time1.6
x: 0.513695, y: 1.03372Vx: 0.361088, Vy: 0.889077time1.61
x: 0.517306, y: 1.04261Vx: 0.361088, Vy: 0.889077time1.62
x: 0.520917, y: 1.0515Vx: 0.361088, Vy: 0.889077time1.63
x: 0.524528, y: 1.06039Vx: 0.361088, Vy: 0.889077time1.64
x: 0.528139, y: 1.06928Vx: 0.361088, Vy: 0.889077time1.65
x: 0.53175, y: 1.07817Vx: 0.361088, Vy: 0.889077time1.66
x: 0.53536, y: 1.08707Vx: 0.361088, Vy: 0.889077time1.67
x: 0.538971, y: 1.09596Vx: 0.361088, Vy: 0.889077time1.68
x: 0.542582, y: 1.10485Vx: 0.361088, Vy: 0.889077time1.69
x: 0.546193, y: 1.11374Vx: 0.361088, Vy: 0.889077time1.7
x: 0.549804, y: 1.12263Vx: 0.361088, Vy: 0.889077time1.71
x: 0.553415, y: 1.13152Vx: 0.361088, Vy: 0.889077time1.72
x: 0.557026, y: 1.14041Vx: 0.361088, Vy: 0.889077time1.73
x: 0.560637, y: 1.1493Vx: 0.361088, Vy: 0.889077time1.74
x: 0.564248, y: 1.15819Vx: 0.361088, Vy: 0.889077time1.75
x: 0.567858, y: 1.16708Vx: 0.361088, Vy: 0.889077time1.76
x: 0.571469, y: 1.17597Vx: 0.361088, Vy: 0.889077time1.77
x: 0.57508, y: 1.18486Vx: 0.361088, Vy: 0.889077time1.78
x: 0.578691, y: 1.19375Vx: 0.361088, Vy: 0.889077time1.79
x: 0.582302, y: 1.20265Vx: 0.361088, Vy: 0.889077time1.8
x: 0.585913, y: 1.21154Vx: 0.361088, Vy: 0.889077time1.81
x: 0.589524, y: 1.22043Vx: 0.361088, Vy: 0.889077time1.82
x: 0.593135, y: 1.22932Vx: 0.361088, Vy: 0.889077time1.83
x: 0.596745, y: 1.23821Vx: 0.361088, Vy: 0.889077time1.84
x: 0.600356, y: 1.2471Vx: 0.361088, Vy: 0.889077time1.85
x: 0.603967, y: 1.25599Vx: 0.361088, Vy: 0.889077time1.86
x: 0.607578, y: 1.26488Vx: 0.361088, Vy: 0.889077time1.87
x: 0.611189, y: 1.27377Vx: 0.361088, Vy: 0.889077time1.88
x: 0.6148, y: 1.28266Vx: 0.361088, Vy: 0.889077time1.89
x: 0.618411, y: 1.29155Vx: 0.361088, Vy: 0.889077time1.9
x: 0.622022, y: 1.30044Vx: 0.361088, Vy: 0.889077time1.91
x: 0.625632, y: 1.30933Vx: 0.361088, Vy: 0.889077time1.92
x: 0.629243, y: 1.31823Vx: 0.361088, Vy: 0.889077time1.93
x: 0.632854, y: 1.32712Vx: 0.361088, Vy: 0.889077time1.94
x: 0.636465, y: 1.33601Vx: 0.361088, Vy: 0.889077time1.95
x: 0.640076, y: 1.3449Vx: 0.361088, Vy: 0.889077time1.96
x: 0.643687, y: 1.35379Vx: 0.361088, Vy: 0.889077time1.97
x: 0.647298, y: 1.36268Vx: 0.361088, Vy: 0.889077time1.98
x: 0.650909, y: 1.37157Vx: 0.361088, Vy: 0.889077time1.99
x: 0.65452, y: 1.38046Vx: 0.361088, Vy: 0.889077time2
x: 0.65813, y: 1.38935Vx: 0.361088, Vy: 0.889077time2.01
x: 0.661741, y: 1.39824Vx: 0.361088, Vy: 0.889077time2.02
x: 0.665352, y: 1.40713Vx: 0.361088, Vy: 0.889077time2.03
x: 0.668963, y: 1.41602Vx: 0.361088, Vy: 0.889077time2.04
x: 0.672574, y: 1.42491Vx: 0.361088, Vy: 0.889077time2.05
x: 0.676185, y: 1.43381Vx: 0.361088, Vy: 0.889077time2.06
x: 0.679796, y: 1.4427Vx: 0.361088, Vy: 0.889077time2.07
x: 0.683407, y: 1.45159Vx: 0.361088, Vy: 0.889077time2.08
x: 0.687017, y: 1.46048Vx: 0.361088, Vy: 0.889077time2.09
x: 0.690628, y: 1.46937Vx: 0.361088, Vy: 0.889077time2.1
x: 0.694239, y: 1.47826Vx: 0.361088, Vy: 0.889077time2.11
x: 0.69785, y: 1.48715Vx: 0.361088, Vy: 0.889077time2.12
x: 0.701461, y: 1.49604Vx: 0.361088, Vy: 0.888749time2.13
x: 0.705072, y: 1.50492Vx: 0.361088, Vy: 0.887432time2.14
x: 0.708683, y: 1.51379Vx: 0.361088, Vy: 0.886116time2.15
x: 0.712294, y: 1.52264Vx: 0.361088, Vy: 0.884799time2.16
x: 0.715905, y: 1.53148Vx: 0.361088, Vy: 0.883482time2.17
x: 0.719515, y: 1.54031Vx: 0.361088, Vy: 0.882166time2.18
x: 0.723126, y: 1.54913Vx: 0.361088, Vy: 0.880849time2.19
x: 0.726737, y: 1.55793Vx: 0.361088, Vy: 0.879533time2.2
x: 0.730348, y: 1.56672Vx: 0.361088, Vy: 0.877429time2.21
x: 0.733959, y: 1.57547Vx: 0.361088, Vy: 0.873287time2.22
x: 0.73757, y: 1.58418Vx: 0.361088, Vy: 0.869145time2.23
x: 0.741181, y: 1.59285Vx: 0.361088, Vy: 0.865002time2.24
x: 0.744792, y: 1.60148Vx: 0.361088, Vy: 0.86086time2.25
x: 0.748402, y: 1.61007Vx: 0.361088, Vy: 0.856718time2.26
x: 0.752013, y: 1.61862Vx: 0.361088, Vy: 0.852576time2.27
x: 0.755624, y: 1.62712Vx: 0.361088, Vy: 0.848434time2.28
x: 0.759235, y: 1.63557Vx: 0.361088, Vy: 0.841286time2.29
x: 0.762846, y: 1.64395Vx: 0.361088, Vy: 0.833612time2.3
x: 0.766457, y: 1.65225Vx: 0.361088, Vy: 0.825939time2.31
x: 0.770068, y: 1.66047Vx: 0.361088, Vy: 0.818266time2.32
x: 0.773679, y: 1.66861Vx: 0.361088, Vy: 0.810593time2.33
x: 0.77729, y: 1.67668Vx: 0.361088, Vy: 0.802919time2.34
x: 0.7809, y: 1.68467Vx: 0.361088, Vy: 0.794145time2.35
x: 0.784511, y: 1.69256Vx: 0.361088, Vy: 0.784145time2.36
x: 0.788122, y: 1.70035Vx: 0.361088, Vy: 0.774145time2.37
x: 0.791733, y: 1.70804Vx: 0.361088, Vy: 0.764145time2.38
x: 0.795344, y: 1.71563Vx: 0.361088, Vy: 0.754145time2.39
x: 0.798955, y: 1.72312Vx: 0.361088, Vy: 0.744145time2.4
x: 0.802566, y: 1.73052Vx: 0.361088, Vy: 0.734145time2.41
x: 0.806177, y: 1.73781Vx: 0.361088, Vy: 0.724145time2.42
x: 0.809787, y: 1.745Vx: 0.361088, Vy: 0.714145time2.43
x: 0.813398, y: 1.75209Vx: 0.361088, Vy: 0.704145time2.44
x: 0.817009, y: 1.75908Vx: 0.361088, Vy: 0.694145time2.45
x: 0.82062, y: 1.76597Vx: 0.361088, Vy: 0.684145time2.46
x: 0.824231, y: 1.77276Vx: 0.361088, Vy: 0.674145time2.47
x: 0.827842, y: 1.77946Vx: 0.361088, Vy: 0.664145time2.48
x: 0.831453, y: 1.78605Vx: 0.361088, Vy: 0.654145time2.49
x: 0.835064, y: 1.79254Vx: 0.361088, Vy: 0.644145time2.5
x: 0.838674, y: 1.79893Vx: 0.361088, Vy: 0.634145time2.51
x: 0.842285, y: 1.80522Vx: 0.361088, Vy: 0.624145time2.52
x: 0.845896, y: 1.81141Vx: 0.361088, Vy: 0.614145time2.53
x: 0.849507, y: 1.8175Vx: 0.361088, Vy: 0.604145time2.54
x: 0.853118, y: 1.8235Vx: 0.361088, Vy: 0.594145time2.55
x: 0.856729, y: 1.82939Vx: 0.361088, Vy: 0.584145time2.56
x: 0.86034, y: 1.83518Vx: 0.361088, Vy: 0.574145time2.57
x: 0.863951, y: 1.84087Vx: 0.361088, Vy: 0.564145time2.58
x: 0.867562, y: 1.84646Vx: 0.361088, Vy: 0.554145time2.59
x: 0.871172, y: 1.85195Vx: 0.361088, Vy: 0.544145time2.6
x: 0.874783, y: 1.85734Vx: 0.361088, Vy: 0.534145time2.61
x: 0.878394, y: 1.86264Vx: 0.361088, Vy: 0.524145time2.62
x: 0.882005, y: 1.86783Vx: 0.361088, Vy: 0.514145time2.63
x: 0.885616, y: 1.87292Vx: 0.361088, Vy: 0.504145time2.64
x: 0.889227, y: 1.87791Vx: 0.361088, Vy: 0.494145time2.65
x: 0.892836, y: 1.8828Vx: 0.360495, Vy: 0.484145time2.66
x: 0.896435, y: 1.88759Vx: 0.359179, Vy: 0.474145time2.67
x: 0.90002, y: 1.89228Vx: 0.357862, Vy: 0.464145time2.68
x: 0.903592, y: 1.89688Vx: 0.356546, Vy: 0.454145time2.69
x: 0.907151, y: 1.90137Vx: 0.355229, Vy: 0.444145time2.7
x: 0.910697, y: 1.90576Vx: 0.353913, Vy: 0.434145time2.71
x: 0.914229, y: 1.91005Vx: 0.352596, Vy: 0.424145time2.72
x: 0.917748, y: 1.91424Vx: 0.351279, Vy: 0.414145time2.73
x: 0.921251, y: 1.91833Vx: 0.348607, Vy: 0.404145time2.74
x: 0.924717, y: 1.92232Vx: 0.344465, Vy: 0.394145time2.75
x: 0.928141, y: 1.92622Vx: 0.340323, Vy: 0.384145time2.76
x: 0.931523, y: 1.93001Vx: 0.336181, Vy: 0.374145time2.77
x: 0.934864, y: 1.9337Vx: 0.332039, Vy: 0.364145time2.78
x: 0.938164, y: 1.93729Vx: 0.327896, Vy: 0.354145time2.79
x: 0.941422, y: 1.94078Vx: 0.323754, Vy: 0.344145time2.8
x: 0.944639, y: 1.94417Vx: 0.319427, Vy: 0.334145time2.81
x: 0.947795, y: 1.94747Vx: 0.311754, Vy: 0.324145time2.82
x: 0.950874, y: 1.95066Vx: 0.30408, Vy: 0.314145time2.83
x: 0.953877, y: 1.95375Vx: 0.296407, Vy: 0.304145time2.84
x: 0.956802, y: 1.95674Vx: 0.288734, Vy: 0.294145time2.85
x: 0.959651, y: 1.95963Vx: 0.281061, Vy: 0.284145time2.86
x: 0.962423, y: 1.96242Vx: 0.273387, Vy: 0.274145time2.87
x: 0.965114, y: 1.96511Vx: 0.264145, Vy: 0.264145time2.88
x: 0.967705, y: 1.96771Vx: 0.254145, Vy: 0.254145time2.89
x: 0.970197, y: 1.9702Vx: 0.244145, Vy: 0.244145time2.9
x: 0.972588, y: 1.97259Vx: 0.234145, Vy: 0.234145time2.91
x: 0.97488, y: 1.97488Vx: 0.224145, Vy: 0.224145time2.92
x: 0.977071, y: 1.97707Vx: 0.214145, Vy: 0.214145time2.93
x: 0.979162, y: 1.97916Vx: 0.204145, Vy: 0.204145time2.94
x: 0.981154, y: 1.98115Vx: 0.194145, Vy: 0.194145time2.95
x: 0.983045, y: 1.98305Vx: 0.184145, Vy: 0.184145time2.96
x: 0.984837, y: 1.98484Vx: 0.174145, Vy: 0.174145time2.97
x: 0.986528, y: 1.98653Vx: 0.164145, Vy: 0.164145time2.98
x: 0.98812, y: 1.98812Vx: 0.154145, Vy: 0.154145time2.99
x: 0.989611, y: 1.98961Vx: 0.144145, Vy: 0.144145time3
x: 0.991003, y: 1.991Vx: 0.134145, Vy: 0.134145time3.01
x: 0.992294, y: 1.99229Vx: 0.124145, Vy: 0.124145time3.02
x: 0.993485, y: 1.99349Vx: 0.114145, Vy: 0.114145time3.03
x: 0.994577, y: 1.99458Vx: 0.104145, Vy: 0.104145time3.04
x: 0.995568, y: 1.99557Vx: 0.094145, Vy: 0.094145time3.05
x: 0.99646, y: 1.99646Vx: 0.084145, Vy: 0.084145time3.06
x: 0.997251, y: 1.99725Vx: 0.074145, Vy: 0.074145time3.07
x: 0.997943, y: 1.99794Vx: 0.064145, Vy: 0.064145time3.08
x: 0.998534, y: 1.99853Vx: 0.054145, Vy: 0.054145time3.09
x: 0.999026, y: 1.99903Vx: 0.044145, Vy: 0.044145time3.1
x: 0.999417, y: 1.99942Vx: 0.034145, Vy: 0.034145time3.11
x: 0.999709, y: 1.99971Vx: 0.024145, Vy: 0.024145time3.12
x: 0.9999, y: 1.9999Vx: 0.014145, Vy: 0.014145time3.13
x: 0.999991, y: 1.99999Vx: 0.00414501, Vy: 0.00414501time3.14
x: 1.00002, y: 1.99998Vx: 0.00585499, Vy: -0.00585499time3.15
x: 1.00013, y: 1.99987Vx: 0.015855, Vy: -0.015855time3.16
x: 1.00033, y: 1.99967Vx: 0.025855, Vy: -0.025855time3.17
x: 1.00064, y: 1.99936Vx: 0.035855, Vy: -0.035855time3.18
x: 1.00105, y: 1.99895Vx: 0.045855, Vy: -0.045855time3.19
x: 1.00156, y: 1.99844Vx: 0.055855, Vy: -0.055855time3.2
x: 1.00217, y: 1.99783Vx: 0.065855, Vy: -0.065855time3.21
x: 1.00288, y: 1.99712Vx: 0.075855, Vy: -0.075855time3.22
x: 1.00369, y: 1.99631Vx: 0.085855, Vy: -0.085855time3.23
x: 1.00459, y: 1.99541Vx: 0.095855, Vy: -0.095855time3.24
x: 1.0056, y: 1.9944Vx: 0.105855, Vy: -0.105855time3.25
x: 1.00671, y: 1.99329Vx: 0.115506, Vy: -0.115855time3.26
x: 1.0079, y: 1.99208Vx: 0.123179, Vy: -0.125855time3.27
x: 1.00917, y: 1.99077Vx: 0.130852, Vy: -0.135855time3.28
x: 1.01052, y: 1.98936Vx: 0.138526, Vy: -0.145855time3.29
x: 1.01195, y: 1.98785Vx: 0.146199, Vy: -0.155855time3.3
x: 1.01345, y: 1.98625Vx: 0.153872, Vy: -0.165855time3.31
x: 1.01502, y: 1.98454Vx: 0.161545, Vy: -0.175855time3.32
x: 1.01667, y: 1.98273Vx: 0.166493, Vy: -0.185855time3.33
x: 1.01835, y: 1.98082Vx: 0.170635, Vy: -0.195855time3.34
x: 1.02008, y: 1.97881Vx: 0.174777, Vy: -0.205855time3.35
x: 1.02185, y: 1.9767Vx: 0.178919, Vy: -0.215855time3.36
x: 1.02366, y: 1.97449Vx: 0.183061, Vy: -0.225855time3.37
x: 1.02551, y: 1.97219Vx: 0.187203, Vy: -0.235855time3.38
x: 1.0274, y: 1.96978Vx: 0.191345, Vy: -0.245855time3.39
x: 1.02933, y: 1.96727Vx: 0.194514, Vy: -0.255855time3.4
x: 1.03129, y: 1.96466Vx: 0.19583, Vy: -0.265855time3.41
x: 1.03325, y: 1.96195Vx: 0.197147, Vy: -0.275855time3.42
x: 1.03523, y: 1.95914Vx: 0.198463, Vy: -0.285855time3.43
x: 1.03722, y: 1.95623Vx: 0.19978, Vy: -0.295855time3.44
x: 1.03922, y: 1.95323Vx: 0.201096, Vy: -0.305855time3.45
x: 1.04124, y: 1.95012Vx: 0.202413, Vy: -0.315855time3.46
x: 1.04327, y: 1.94691Vx: 0.203729, Vy: -0.325855time3.47
x: 1.04531, y: 1.9436Vx: 0.204554, Vy: -0.335855time3.48
x: 1.04736, y: 1.94019Vx: 0.204554, Vy: -0.345855time3.49
x: 1.04941, y: 1.93668Vx: 0.204554, Vy: -0.355855time3.5
x: 1.05145, y: 1.93308Vx: 0.204554, Vy: -0.365855time3.51
x: 1.0535, y: 1.92937Vx: 0.204554, Vy: -0.375855time3.52
x: 1.05554, y: 1.92556Vx: 0.204554, Vy: -0.385855time3.53
x: 1.05759, y: 1.92165Vx: 0.204554, Vy: -0.395855time3.54
x: 1.05963, y: 1.91764Vx: 0.204554, Vy: -0.405855time3.55
x: 1.06168, y: 1.91353Vx: 0.204554, Vy: -0.415855time3.56
x: 1.06372, y: 1.90932Vx: 0.204554, Vy: -0.425855time3.57
x: 1.06577, y: 1.90502Vx: 0.204554, Vy: -0.435855time3.58
x: 1.06782, y: 1.90061Vx: 0.204554, Vy: -0.445855time3.59
x: 1.06986, y: 1.8961Vx: 0.204554, Vy: -0.455855time3.6
